,optimal_feasible_diff,optimal_timeout_diff,timeout_feasible_diff,std_optimal,std_feasible,std_timeout
n_jobs_shap,-1.3623425863052954,-1.5821991963659412,0.21985661006064594,0.3054625437348722,0.1808911815187569,0.031505837742388874
n_machines_shap,0.04523238648646738,-0.20048664323294066,0.24571902971940804,0.10870975456901825,0.3009040114691001,0.06078473015652958
num_nodes_shap,-0.09392811517044775,-1.0812813628942188,0.9873532477237712,0.19735454296404778,0.4195354890867348,0.1853729879523366
node_x_col0_max_shap,0.059996121425949095,0.037646188575670037,0.02234993285027906,0.5705177359023551,0.06778508414661094,0.006712175465023116
node_x_col0_mean_shap,0.051111316786883854,-0.8541451431780577,0.9052564599649415,0.1540645075570807,0.281275418835697,0.32023695043193745
node_x_col0_median_shap,0.045798871428039206,-0.1399967768570553,0.1857956482850945,0.07918000256132385,0.16326997818969505,0.0825036961356053
node_x_col0_std_shap,0.01777172106290348,0.000995276017075275,0.016776445045828203,0.065478882124173,0.11377371795697674,0.09463877763720091
node_x_col0_range_shap,0.07268572901970309,0.06405989817962847,0.008625830840074629,0.5574949897700595,0.0554436811599584,0.0037790432267898843
node_x_col0_q1_shap,-0.03284183013681713,-0.1402874247234998,0.10744559458668268,0.07919339215938716,0.1858689617347504,0.05184954791712474
node_x_col0_q3_shap,0.05601054492569357,-1.0111651539277555,1.067175698853449,0.16821698153045717,0.3449013559237523,0.2758048513273953
node_x_col0_gini_shap,-0.010997435152038944,-0.3620852568739958,0.35108782172195685,0.13664538164156328,0.2527752547172992,0.18703403128036694
node_x_col1_max_shap,0.030745989471903434,-0.1251359963637952,0.15588198583569862,0.11454948989090916,0.3158229176818933,0.04851211603992932
node_x_col1_mean_shap,0.08423515312721333,-0.20108344443660153,0.28531859756381484,0.14092066502820802,0.3133699642909306,0.06787805429516361
node_x_col1_median_shap,-0.03336877919944925,-0.056010645791179564,0.022641866591730314,0.15412064392277103,0.2685731130578892,0.09515702263314683
node_x_col1_std_shap,0.021221221465508644,-0.11677992705421514,0.13800114851972378,0.08010946006415645,0.27900218622998846,0.0963974680945698
node_x_col1_range_shap,0.022322938046074083,-0.11084801548460835,0.13317095353068242,0.09930834924617851,0.29405216579761195,0.07385474546300651
node_x_col1_q1_shap,0.10451449926239989,-0.32130101142156503,0.42581551068396495,0.22015687586445168,0.28272852874773335,0.0901264881789249
node_x_col1_q3_shap,0.008932075956021107,-0.15036683592007416,0.15929891187609524,0.15449940630248993,0.2880650841712472,0.07429506056877232
node_x_col1_gini_shap,0.04611512362125353,-0.35999192895835275,0.4061070525796062,0.18808244314777825,0.3484665410965588,0.07579776917295775
node_x_overall_mean_shap,0.046895102758094505,-0.1542173045097079,0.2011124072678024,0.120759273102392,0.3084632634262811,0.07006171288404235
node_x_overall_std_shap,-0.038435980826918625,-0.04008673098948845,0.001650750162569825,0.07684935481551283,0.18662043032749942,0.12039327606677944
num_conjunctive_edges_shap,-0.07471696475364092,-1.2302766487688246,1.1555596840151836,0.15414919811084452,0.4359975467285701,0.21693721368483393
num_disjunctive_edges_shap,-0.1924537112664889,-1.304614896498991,1.112161185232502,0.10018145813904067,0.4613329741751735,0.18354510550593756
num_nodes_total_shap,-0.184368137885238,-1.1878202523751922,1.0034521144899542,0.21655391606256436,0.4572480838831395,0.17351968635418177
num_edges_total_shap,-0.23954909270405744,-1.3731193410425884,1.1335702483385308,0.09256352524803306,0.4752985451535789,0.17763421746155522
disj_graph_density_shap,0.009662610369239391,-0.0882213325357255,0.09788394290496488,0.06492928181128967,0.2578797203098463,0.06370260402243308
deg_d_max_shap,-1.3365190720999727,-1.5278332239575558,0.19131415185758294,0.3481677126838269,0.14775315502119116,0.03241675109255639
deg_d_mean_shap,-1.3533486960172274,-1.6057012180288637,0.25235252201163605,0.2788755670488913,0.20725419078299503,0.043500433941568155
deg_d_median_shap,-1.3791267927125617,-1.592655270459281,0.21352847774671935,0.32036960513384244,0.17026321719755036,0.03530269942169641
deg_d_std_shap,-0.298785213098827,-0.37479994270000155,0.07601472960117459,0.17324493303780608,0.27037226256226893,0.21577515087401164
deg_d_range_shap,-1.3435797089121633,-1.5521879818871094,0.20860827297494589,0.3420860758822397,0.16083509355301556,0.036392423759326116
deg_d_q1_shap,-1.3870894125618722,-1.6228893112123661,0.2357998986504939,0.3058516115861185,0.17907866771641456,0.03879596860757076
deg_d_q3_shap,-1.293312784878812,-1.5023350583190984,0.20902227344028634,0.3129447166271756,0.15545576831651248,0.03405427408124702
deg_d_gini_shap,-0.10432646972748141,-1.1092308313699308,1.0049043616424496,0.1689204944339562,0.4162909340204022,0.1889965553936593
clustering_max_shap,0.008925730180593866,0.00890875322600268,1.6976954591185756e-05,0.124458417965606,0.0005666179155358248,5.963742740213293e-05
clustering_mean_shap,-0.12562887255514849,-1.2053599840724014,1.079731111517253,0.1662218327909376,0.44589598497950367,0.19446464313756004
clustering_median_shap,0.006731767086989082,0.006819145724481723,-8.737863749264108e-05,0.14965815448685793,0.0007212218235735987,5.7438520601401934e-05
clustering_std_shap,-0.041310065208838675,-1.1130119426868994,1.071701877478061,0.21228206921274778,0.4216349009723151,0.19901778869045952
clustering_range_shap,0.0497052929412814,0.05111632669946259,-0.0014110337581811905,0.3113726105320208,0.007432809844235664,0.0011493946237914694
clustering_q1_shap,0.0072018883917303045,0.007023843835367249,0.00017804455636305505,0.1326522422356127,0.0009801807071932265,0.00010760874747954372
clustering_q3_shap,0.0014272396784385244,0.001284171614060553,0.00014306806437797137,0.12805597023658086,0.0005311598710569282,4.60752338267579e-05
clustering_gini_shap,-0.02967755967006,-1.0886951989934917,1.0590176393234316,0.21992950408477882,0.4167955423467426,0.20177009851019426
conj_graph_density_shap,-0.14393639893251656,-1.0063101629160993,0.8623737639835827,0.21855054322770656,0.48510399124448567,0.1513735200623857
deg_c_max_shap,-1.2980488989070857,-1.500055890880228,0.20200699197314198,0.34026480128395825,0.1434341746972087,0.03551459992496781
deg_c_mean_shap,-0.03317571024613767,-0.06061379401786564,0.027438083771727968,0.05847568079232733,0.24022238949406793,0.10333067682557066
deg_c_std_shap,-0.30806666646982345,-0.3670767617436623,0.05901009527383885,0.1578478128756087,0.25161433175286707,0.21954076064087844
deg_c_range_shap,-1.3731999204892356,-1.5900911732249075,0.21689125273567167,0.3200854283789593,0.17615375721225937,0.03239318349283867
deg_c_q3_shap,-0.0055140015162527135,-0.005691147004636389,0.0001771454883836756,0.05800083930365099,0.0005204355056512354,8.993617453712515e-06
deg_c_gini_shap,-0.014418921298921635,-0.07924818778335375,0.06482926648443212,0.07340849975934392,0.24944175714953526,0.07745424388585008
betweenness_min_shap,-1.2636451380395584,-1.4106504944289977,0.1470053563894393,0.2317054741127141,0.12672675787497667,0.029778074183351776
betweenness_max_shap,-1.1343694491181835,-1.4588544593233632,0.32448501020517967,0.22096671168931384,0.26273546068900583,0.08806401649863106
betweenness_mean_shap,-1.3973400266203408,-1.6208229184772613,0.22348289185692038,0.297212308286675,0.17493951817756995,0.03331761954941356
betweenness_median_shap,-1.3586241169649107,-1.5637963720103991,0.20517225504548842,0.20581692155876805,0.19116243521064546,0.04031148551731369
betweenness_std_shap,0.015416756040035479,-0.8875692483555605,0.902986004395596,0.18123937215817137,0.3979180661493035,0.2014082083244395
betweenness_range_shap,-1.433554694155649,-1.6365673874118145,0.20301269325616544,0.30290940270763994,0.15923794555844767,0.0319882595300346
betweenness_q1_shap,-1.1236648206467996,-1.2748559121701113,0.15119109152331167,0.20264801622358333,0.14814776421960457,0.04355244555911649
betweenness_q3_shap,-0.8758141691643091,-1.006952193099311,0.13113802393500196,0.22242917228893472,0.16929228115719414,0.07122482049872272
betweenness_gini_shap,-0.03753061728474559,-0.08750304971910638,0.049972432434360795,0.07009060429928365,0.2727660929085724,0.11468377974269824
makespan_min_shap,0.08146602753639981,-0.2212245385774685,0.3026905661138683,0.14554371462367668,0.32297918629125405,0.06329468191583593
makespan_range_shap,-0.12589109358580847,-1.3021665259498731,1.1762754323640645,0.1179664423679954,0.45765084900648295,0.21414116648541512
energy_sum_min_shap,-0.0891496051702042,-1.121142788851633,1.031993183681429,0.17456235966002612,0.4508103006342312,0.18762124367560912
operation_cost_mean_shap,0.11473111666184316,-0.5227977013365093,0.6375288179983525,0.1284684481866932,0.2934236903926718,0.28625739011028334
operation_cost_std_shap,0.01759324965647041,-0.3627904607553004,0.3803837104117708,0.13360365058964527,0.19156439431272357,0.1783457184930181
makespan_lb_job_sum_shap,0.07850514491066912,-0.21384777576308373,0.29235292067375285,0.13580648875179918,0.3148898285799551,0.06056966874378478
makespan_lb_machine_sum_shap,-0.9307769845680545,-1.1535173453503704,0.22274036078231602,0.33931375386704643,0.1608382269174331,0.065229228858901
makespan_lb_meanload_shap,-1.3914393033210537,-1.5936454131394202,0.2022061098183664,0.3274988233676411,0.1523988493631684,0.033770237401459985
energy_min_mean_shap,0.10229112351562854,-0.46233831272514014,0.5646294362407687,0.13051230239942863,0.28730070355696324,0.2607058797695863
energy_avg_mean_shap,0.08297902836961396,-0.4348037057675864,0.5177827341372004,0.11595859439610072,0.2502043234491193,0.21622934543259456
energy_max_mean_shap,0.0714829329354897,-0.4629536329211707,0.5344365658566604,0.12017016440823121,0.2716304993520929,0.22383708925954668
num_op_nodes_shap,-0.11821034402777747,-1.0797875241960873,0.9615771801683097,0.19946011087384252,0.43450670898786725,0.17183338043601737
